,Class,SubClass,Name,Type,Item,Content,Rank,Average,123123
8,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,碳水化合物(CHO),7.1g,11,3.0g,
9,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],能量与相关成分,总膳食纤维(Dietary fiber),,,,
10,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,胡萝卜素(Carotene),,,,
11,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,维生素A(Vitamin),,,,
12,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,α-TE,—,,,
13,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,硫胺素(Thiamin),0.01mg,72,0.05mg,
14,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,核黄素(Riboflavin),0.06mg,58,0.14mg,
15,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,烟酸(Niacin),3.70mg,28,3.43mg,
16,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],维生素,维生素C(Vitamin C),,,,
17,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,钙(Ca),59mg,30,83mg,
18,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,磷(P),166mg,68,224mg,
19,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,钾(K),202mg,76,280mg,
20,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,钠(Na),250.4mg,18,236.7mg,
21,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,镁(Mg),19mg,73,30mg,
22,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,铁(Fe),6.4mg,2,1.6mg,
23,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,锌(Zn),1.48mg,22,1.20mg,
24,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,硒(Se),16.10μg,67,31.24μg,
25,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,铜(Cu),0.08mg,27,0.08mg,
26,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,锰(Mn),0.10mg,19,0.19mg,
27,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],矿物质,碘(I),,,,
28,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],脂肪酸,饱和脂肪酸(SFA),29.2%,44,27.0%,
29,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],脂肪酸,单不饱和脂肪酸(MUFA),54.2%,3,30.1%,
30,鱼虾蟹贝类,鱼,黄颡鱼[戈牙鱼，黄鳍鱼],脂肪酸,多不饱和脂肪酸(PUFA),15.8%,52,19.2%,
